state,year,type,value
Oregon,2021,Telephone banking,2.6
Pennsylvania,2021,Telephone banking,3.6
Rhode Island,2021,Telephone banking,2.1
South Carolina,2021,Telephone banking,7.2
South Dakota,2021,Telephone banking,3.5
Tennessee,2021,Telephone banking,4.4
Texas,2021,Telephone banking,2.7
Utah,2021,Telephone banking,1.5
Vermont,2021,Telephone banking,3.8
Virginia,2021,Telephone banking,3.4
Washington,2021,Telephone banking,2.3
West Virginia,2021,Telephone banking,4.9
Wisconsin,2021,Telephone banking,4.6
Wyoming,2021,Telephone banking,1.7
Alabama,2021,Online banking,15.7
Alaska,2021,Online banking,26.8
Arizona,2021,Online banking,28.8
Arkansas,2021,Online banking,18
California,2021,Online banking,21.4
Colorado,2021,Online banking,26.4
Connecticut,2021,Online banking,26.6
Delaware,2021,Online banking,19.3
District of Columbia,2021,Online banking,24.9
Florida,2021,Online banking,23.6
Georgia,2021,Online banking,18.3
Hawaii,2021,Online banking,19.5
Idaho,2021,Online banking,25.9
Illinois,2021,Online banking,19.4
Indiana,2021,Online banking,21.3
Iowa,2021,Online banking,17.8
Kansas,2021,Online banking,23.7
Kentucky,2021,Online banking,15.7
Louisiana,2021,Online banking,15.1
Maine,2021,Online banking,30.5
Maryland,2021,Online banking,30.4
Massachusetts,2021,Online banking,29.8
Michigan,2021,Online banking,20.6
Minnesota,2021,Online banking,31
Mississippi,2021,Online banking,12.6
Missouri,2021,Online banking,16.6
Montana,2021,Online banking,23.1
Nebraska,2021,Online banking,23.7
Nevada,2021,Online banking,22.3
New Hampshire,2021,Online banking,32.1
New Jersey,2021,Online banking,27.2
New Mexico,2021,Online banking,24.6
New York,2021,Online banking,21.7
North Carolina,2021,Online banking,21.8
North Dakota,2021,Online banking,25
Ohio,2021,Online banking,19.1
Oklahoma,2021,Online banking,15
Oregon,2021,Online banking,28.3
Pennsylvania,2021,Online banking,20.6
Rhode Island,2021,Online banking,18.2
South Carolina,2021,Online banking,19.7
South Dakota,2021,Online banking,19.4
Tennessee,2021,Online banking,17.5
Texas,2021,Online banking,19.7
Utah,2021,Online banking,27
Vermont,2021,Online banking,31.8
Virginia,2021,Online banking,26
Washington,2021,Online banking,23.8
West Virginia,2021,Online banking,17.9
Wisconsin,2021,Online banking,23.3
Wyoming,2021,Online banking,24.3
Alabama,2021,Mobile banking,42.7
Alaska,2021,Mobile banking,47.9
Arizona,2021,Mobile banking,45.5
Arkansas,2021,Mobile banking,44.2
California,2021,Mobile banking,41.4
Colorado,2021,Mobile banking,52.2
Connecticut,2021,Mobile banking,42.5
Delaware,2021,Mobile banking,42.2
District of Columbia,2021,Mobile banking,53.5
Florida,2021,Mobile banking,45.5
Georgia,2021,Mobile banking,48.9
Hawaii,2021,Mobile banking,39.2
Idaho,2021,Mobile banking,45.8
Illinois,2021,Mobile banking,48
Indiana,2021,Mobile banking,43.9
Iowa,2021,Mobile banking,42.2
Kansas,2021,Mobile banking,42.1
Kentucky,2021,Mobile banking,42.7
Louisiana,2021,Mobile banking,45
Maine,2021,Mobile banking,30
Maryland,2021,Mobile banking,46
Massachusetts,2021,Mobile banking,39.4
Michigan,2021,Mobile banking,44.2
