state,year,value
South,2005,2319031541
South,2006,2493835129
South,2007,2724512813
South,2008,3051707503
South,2009,3393046973
South,2010,3125237838
South,2011,3273719151
South,2012,3576083125
South,2013,3608703761
South,2014,3711504436
South,2015,3958662675
South,2016,4137862414
South,2017,4290339716
South,2018,4442636778
South,2019,4602952498
South,2020,5627943991
South,2021,6180465496
South,2022,6010330489
West,1935,5048000
West,1936,5626000
West,1937,5582000
West,1938,5766000
West,1939,6105000
West,1940,6746000
West,1941,7649000
West,1942,10247000
West,1943,13469000
West,1944,16566000
West,1945,20330000
West,1946,19967000
West,1947,20246000
West,1948,20167000
West,1949,20182000
West,1950,21514000
West,1951,23252000
West,1952,25092000
West,1953,25683000
West,1954,27499000
West,1955,29011000
West,1956,29755000
West,1957,31060000
West,1958,34059000
West,1959,36315000
West,1960,37295000
West,1961,41220000
West,1962,44025000
West,1963,46944000
West,1964,50958000
West,1965,54005000
West,1966,57125313
West,1967,63304753
West,1968,69976104
West,1969,68778639
West,1970,77519634
West,1971,88368482
West,1972,101648763
West,1973,112325934
West,1974,123439303
West,1975,133887290
West,1976,142906285
West,1977,162537010
West,1978,230040477
West,1979,258103611
West,1980,279325084
West,1981,302426086
West,1982,321519891
West,1983,337038100
West,1984,352628868
West,1985,370685401
West,1986,381447638
West,1987,373090980
West,1988,387694206
West,1989,417115137
West,1990,447824437
West,1991,464101404
West,1992,451238950
West,1993,453048370
West,1994,464005124
West,1995,489727071
West,1996,515178831
West,1997,500587563
West,1998,553679788
West,1999,391824689
West,2000,460477777
West,2001,501740433
West,2002,561694241
West,2003,630921403
West,2004,469255315
West,2005,536349381
West,2006,1274838440
West,2007,1415143346
West,2008,1442845065
West,2009,1454643826
West,2010,1485180832
West,2011,739564055
West,2012,817419448
West,2013,889324245
West,2014,1002730317
West,2015,1102599599
West,2016,1182042884
West,2017,1229667202
West,2018,1357834948
West,2019,1454200786
West,2020,1814608032
West,2021,2140757187
West,2022,2126009564
